Rank ScMrg,Team,Conference,Games,Wins,Losses,Points,Points Per Game,Opponent Points,Opponent Points Per Game,Scoring Margin,Season
1,South Carolina ,SEC ,38,38,0,"3,247",85.4,"2,149",56.6,28.9,2023-2024
2,LSU ,SEC ,37,31,6,"3,179",85.9,"2,343",63.3,22.6,2023-2024
3,UConn ,Big East ,39,33,6,"3,107",79.7,"2,231",57.2,22.5,2023-2024
4,Texas ,Big 12 ,38,33,5,"3,043",80.1,"2,191",57.7,22.4,2023-2024
5,UNLV ,Mountain West ,33,30,3,"2,608",79,"1,949",59.1,20,2023-2024
6,FGCU ,ASUN ,34,29,5,"2,546",74.9,"1,871",55,19.9,2023-2024
7,Gonzaga ,WCC ,36,32,4,"2,879",80,"2,171",60.3,19.7,2023-2024
8,Iowa ,Big Ten ,39,34,5,"3,548",91,"2,803",71.9,19.1,2023-2024
9,Notre Dame ,ACC ,35,28,7,"2,751",78.6,"2,138",61.1,17.5,2023-2024
10,Stanford ,Pac-12 ,36,30,6,"2,789",77.5,"2,160",60,17.5,2023-2024
11,Fairfield ,MAAC ,33,31,2,"2,391",72.5,"1,820",55.2,17.3,2023-2024
12,UCLA ,Pac-12 ,34,27,7,"2,629",77.3,"2,079",61.1,16.2,2023-2024
13,Middle Tenn. ,CUSA ,35,30,5,"2,498",71.4,"1,943",55.5,15.9,2023-2024
14,West Virginia ,Big 12 ,33,25,8,"2,431",73.7,"1,908",57.8,15.8,2023-2024
15,Michigan St. ,Big Ten ,31,22,9,"2,567",82.8,"2,078",67,15.8,2023-2024
16,Green Bay ,Horizon ,34,27,7,"2,512",73.9,"1,977",58.1,15.7,2023-2024
17,Utah ,Pac-12 ,34,23,11,"2,630",77.4,"2,107",62,15.4,2023-2024
18,Ohio St. ,Big Ten ,32,26,6,"2,537",79.3,"2,047",64,15.3,2023-2024
19,Stony Brook ,CAA ,33,28,5,"2,405",72.9,"1,901",57.6,15.3,2023-2024
20,Indiana ,Big Ten ,32,26,6,"2,544",79.5,"2,060",64.4,15.1,2023-2024
21,Baylor ,Big 12 ,34,26,8,"2,544",74.8,"2,055",60.4,14.4,2023-2024
22,Norfolk St. ,MEAC ,33,27,6,"2,210",67,"1,751",53.1,13.9,2023-2024
23,Jackson St. ,SWAC ,33,26,7,"2,356",71.4,"1,898",57.5,13.9,2023-2024
24,Kansas St. ,Big 12 ,34,26,8,"2,437",71.7,"1,970",57.9,13.7,2023-2024
25,Marshall ,Sun Belt ,33,26,7,"2,814",85.3,"2,369",71.8,13.5,2023-2024
25,Virginia Tech ,ACC ,33,25,8,"2,482",75.2,"2,037",61.7,13.5,2023-2024
27,South Dakota St. ,Summit League ,33,27,6,"2,428",73.6,"1,985",60.2,13.4,2023-2024
28,Grand Canyon ,WAC ,32,24,8,"2,223",69.5,"1,798",56.2,13.3,2023-2024
29,Princeton ,Ivy League ,30,25,5,"2,075",69.2,"1,686",56.2,13,2023-2024
30,Cleveland St. ,Horizon ,35,29,6,"2,602",74.3,"2,149",61.4,12.9,2023-2024
31,NC State ,ACC ,38,31,7,"2,791",73.4,"2,306",60.7,12.8,2023-2024
32,Toledo ,MAC ,34,28,6,"2,472",72.7,"2,043",60.1,12.6,2023-2024
33,Col. of Charleston ,CAA ,32,22,10,"2,411",75.3,"2,010",62.8,12.5,2023-2024
34,Southern California ,Pac-12 ,35,29,6,"2,622",74.9,"2,187",62.5,12.4,2023-2024
35,George Mason ,Atlantic 10 ,31,23,8,"2,204",71.1,"1,820",58.7,12.4,2023-2024
36,Eastern Wash. ,Big Sky ,35,29,6,"2,392",68.3,"1,965",56.1,12.2,2023-2024
36,Columbia ,Ivy League ,30,23,7,"2,272",75.7,"1,906",63.5,12.2,2023-2024
38,Richmond ,Atlantic 10 ,35,29,6,"2,558",73.1,"2,135",61,12.1,2023-2024
39,Ball St. ,MAC ,34,28,6,"2,472",72.7,"2,072",60.9,11.8,2023-2024
40,Drake ,MVC ,35,29,6,"2,843",81.2,"2,450",70,11.2,2023-2024
40,Oregon St. ,Pac-12 ,35,27,8,"2,483",70.9,"2,090",59.8,11.2,2023-2024
42,Alabama ,SEC ,34,24,10,"2,487",73.1,"2,115",62.2,10.9,2023-2024
43,Penn St. ,Big Ten ,35,22,13,"2,894",82.7,"2,512",71.8,10.9,2023-2024
44,Colorado ,Pac-12 ,34,24,10,"2,555",75.2,"2,185",64.3,10.9,2023-2024
45,Saint Joseph's ,Atlantic 10 ,34,28,6,"2,221",65.3,"1,852",54.5,10.9,2023-2024
46,Creighton ,Big East ,32,26,6,"2,350",73.4,"2,011",62.8,10.6,2023-2024
47,Santa Clara ,WCC ,34,25,9,"2,365",69.6,"2,011",59.1,10.4,2023-2024
48,Duke ,ACC ,34,22,12,"2,316",68.2,"1,967",57.9,10.3,2023-2024
49,North Texas ,AAC ,32,23,9,"2,379",74.3,"2,054",64.2,10.2,2023-2024
50,Marquette ,Big East ,32,23,9,"2,228",69.6,"1,904",59.5,10.1,2023-2024
50,VCU ,Atlantic 10 ,32,26,6,"2,025",63.3,"1,701",53.2,10.1,2023-2024
52,Louisville ,ACC ,34,24,10,"2,496",73.4,"2,153",63.3,10.1,2023-2024
53,Mississippi St. ,SEC ,35,23,12,"2,647",75.6,"2,302",65.8,9.9,2023-2024
54,Chattanooga ,SoCon ,33,28,5,"2,120",64.2,"1,798",54.5,9.8,2023-2024
55,Texas A&M ,SEC ,32,19,13,"2,188",68.4,"1,879",58.7,9.7,2023-2024
56,UAlbany ,America East ,32,25,7,"1,949",60.9,"1,641",51.3,9.6,2023-2024
57,Davidson ,Atlantic 10 ,26,18,8,"1,689",65,"1,440",55.4,9.6,2023-2024
58,Sacred Heart ,NEC ,34,24,10,"2,242",65.9,"1,918",56.4,9.5,2023-2024
59,Murray St. ,MVC ,32,20,12,"2,704",84.5,"2,407",75.2,9.3,2023-2024
60,Ole Miss ,SEC ,33,24,9,"2,261",68.5,"1,960",59.4,9.1,2023-2024
61,Lamar University ,Southland ,31,24,7,"2,066",66.6,"1,786",57.6,9,2023-2024
62,California Baptist ,WAC ,32,28,4,"2,569",80.3,"2,281",71.3,9,2023-2024
62,Kent St. ,MAC ,32,21,11,"2,296",71.8,"2,008",62.8,9,2023-2024
64,A&M-Corpus Christi ,Southland ,32,23,9,"2,139",66.8,"1,854",57.9,8.9,2023-2024
65,Montana ,Big Sky ,33,23,10,"2,392",72.5,"2,107",63.8,8.6,2023-2024
66,TCU ,Big 12 ,33,21,12,"2,294",69.5,"2,010",60.9,8.6,2023-2024
67,Syracuse ,ACC ,32,24,8,"2,369",74,"2,102",65.7,8.3,2023-2024
68,Belmont ,MVC ,35,26,9,"2,470",70.6,"2,181",62.3,8.3,2023-2024
69,Nebraska ,Big Ten ,35,23,12,"2,533",72.4,"2,246",64.2,8.2,2023-2024
70,Eastern Ky. ,ASUN ,34,22,12,"2,444",71.9,"2,177",64,7.9,2023-2024
71,Western Ill. ,OVC ,30,18,12,"2,230",74.3,"1,995",66.5,7.8,2023-2024
72,Grambling ,SWAC ,33,23,10,"2,374",71.9,"2,116",64.1,7.8,2023-2024
73,Auburn ,SEC ,32,20,12,"2,124",66.4,"1,882",58.8,7.6,2023-2024
74,Purdue Fort Wayne ,Horizon ,36,23,13,"2,554",70.9,"2,282",63.4,7.6,2023-2024
75,Rhode Island ,Atlantic 10 ,35,21,14,"2,245",64.1,"1,984",56.7,7.5,2023-2024
76,Colorado St. ,Mountain West ,31,20,11,"2,127",68.6,"1,898",61.2,7.4,2023-2024
77,N.C. A&T ,CAA ,34,22,12,"2,182",64.2,"1,931",56.8,7.4,2023-2024
78,Oklahoma ,Big 12 ,33,23,10,"2,523",76.5,"2,280",69.1,7.4,2023-2024
79,UC Irvine ,Big West ,32,23,9,"2,015",63,"1,781",55.7,7.3,2023-2024
80,Washington St. ,Pac-12 ,36,21,15,"2,487",69.1,"2,224",61.8,7.3,2023-2024
81,UNC Greensboro ,SoCon ,33,21,12,"2,093",63.4,"1,853",56.2,7.3,2023-2024
82,Maine ,America East ,34,24,10,"2,178",64.1,"1,938",57,7.1,2023-2024
83,Temple ,AAC ,32,20,12,"2,238",69.9,"2,013",62.9,7,2023-2024
84,Illinois ,Big Ten ,34,19,15,"2,533",74.5,"2,294",67.5,7,2023-2024
85,Florida St. ,ACC ,34,23,11,"2,668",78.5,"2,430",71.5,7,2023-2024
85,SFA ,WAC ,34,22,12,"2,572",75.6,"2,334",68.6,7,2023-2024
87,North Dakota St. ,Summit League ,34,22,12,"2,565",75.4,"2,328",68.5,7,2023-2024
88,Oral Roberts ,Summit League ,32,21,11,"2,628",82.1,"2,413",75.4,6.7,2023-2024
89,Central Ark. ,ASUN ,33,21,12,"2,168",65.7,"1,948",59,6.7,2023-2024
90,Vermont ,America East ,37,25,12,"2,199",59.4,"1,955",52.8,6.6,2023-2024
91,Tennessee ,SEC ,33,20,13,"2,518",76.3,"2,301",69.7,6.6,2023-2024
92,ULM ,Sun Belt ,35,21,14,"2,597",74.2,"2,376",67.9,6.3,2023-2024
93,Miami FL,ACC ,31,19,12,"2,066",66.6,"1,871",60.4,6.3,2023-2024
94,South Dakota ,Summit League ,36,23,13,"2,551",70.9,"2,326",64.6,6.3,2023-2024
95,Iowa St. ,Big 12 ,33,21,12,"2,487",75.4,"2,281",69.1,6.2,2023-2024
96,Vanderbilt ,SEC ,33,23,10,"2,260",68.5,"2,057",62.3,6.2,2023-2024
97,Colgate ,Patriot ,34,20,14,"2,102",61.8,"1,894",55.7,6.1,2023-2024
98,Holy Cross ,Patriot ,34,21,13,"2,139",62.9,"1,933",56.9,6.1,2023-2024
99,Troy ,Sun Belt ,34,22,12,"2,749",80.9,"2,551",75,5.8,2023-2024
100,Monmouth ,CAA ,32,22,10,"2,052",64.1,"1,866",58.3,5.8,2023-2024
101,James Madison ,Sun Belt ,35,23,12,"2,529",72.3,"2,327",66.5,5.8,2023-2024
102,Campbell ,CAA ,31,17,14,"1,884",60.8,"1,707",55.1,5.7,2023-2024
103,Michigan ,Big Ten ,34,20,14,"2,379",70,"2,185",64.3,5.7,2023-2024
104,Illinois St. ,MVC ,34,22,12,"2,525",74.3,"2,332",68.6,5.7,2023-2024
105,Missouri St. ,MVC ,33,23,10,"2,287",69.3,"2,100",63.6,5.7,2023-2024
106,Bethune-Cookman ,SWAC ,31,15,16,"2,058",66.4,"1,886",60.8,5.5,2023-2024
107,Southeastern La. ,Southland ,31,19,12,"1,970",63.5,"1,799",58,5.5,2023-2024
108,Portland ,WCC ,34,21,13,"2,309",67.9,"2,122",62.4,5.5,2023-2024
108,Wofford ,SoCon ,30,17,13,"1,999",66.6,"1,834",61.1,5.5,2023-2024
110,Harvard ,Ivy League ,28,16,12,"1,929",68.9,"1,776",63.4,5.5,2023-2024
111,North Carolina ,ACC ,33,20,13,"2,236",67.8,"2,062",62.5,5.3,2023-2024
112,Northern Ariz. ,Big Sky ,35,25,10,"2,636",75.3,"2,452",70.1,5.3,2023-2024
113,Ark.-Pine Bluff ,SWAC ,33,17,16,"2,409",73,"2,237",67.8,5.2,2023-2024
114,Villanova ,Big East ,35,22,13,"2,269",64.8,"2,087",59.6,5.2,2023-2024
115,Washington ,Pac-12 ,31,16,15,"1,990",64.2,"1,830",59,5.2,2023-2024
116,Boise St. ,Mountain West ,35,21,14,"2,241",64,"2,063",58.9,5.1,2023-2024
117,UIW ,Southland ,30,19,11,"1,874",62.5,"1,722",57.4,5.1,2023-2024
118,Seton Hall ,Big East ,32,17,15,"2,060",64.4,"1,910",59.7,4.7,2023-2024
119,Maryland ,Big Ten ,33,19,14,"2,571",77.9,"2,418",73.3,4.6,2023-2024
120,Siena ,MAAC ,30,18,12,"2,053",68.4,"1,918",63.9,4.5,2023-2024
121,FIU ,CUSA ,33,21,12,"2,263",68.6,"2,117",64.2,4.4,2023-2024
122,Rice ,AAC ,34,19,15,"2,284",67.2,"2,143",63,4.1,2023-2024
123,Arizona ,Pac-12 ,34,18,16,"2,376",69.9,"2,237",65.8,4.1,2023-2024
124,South Fla. ,AAC ,33,19,14,"2,120",64.2,"1,988",60.2,4,2023-2024
125,Southern Miss. ,Sun Belt ,34,20,14,"2,294",67.5,"2,159",63.5,4,2023-2024
126,Wyoming ,Mountain West ,33,18,15,"2,104",63.8,"1,973",59.8,4,2023-2024
127,Tulsa ,AAC ,35,25,10,"2,480",70.9,"2,342",66.9,3.9,2023-2024
128,New Mexico ,Mountain West ,32,21,11,"2,071",64.7,"1,945",60.8,3.9,2023-2024
129,Kansas ,Big 12 ,33,20,13,"2,249",68.2,"2,121",64.3,3.9,2023-2024
130,Abilene Christian ,WAC ,30,14,16,"2,098",69.9,"1,984",66.1,3.8,2023-2024
130,ETSU ,SoCon ,30,18,12,"1,783",59.4,"1,669",55.6,3.8,2023-2024
132,Old Dominion ,Sun Belt ,32,22,10,"2,047",64,"1,928",60.3,3.7,2023-2024
133,Milwaukee ,Horizon ,32,16,16,"2,117",66.2,"2,005",62.7,3.5,2023-2024
134,Lehigh ,Patriot ,30,17,13,"2,065",68.8,"1,963",65.4,3.4,2023-2024
135,Minnesota ,Big Ten ,36,20,16,"2,503",69.5,"2,381",66.1,3.4,2023-2024
136,Florida ,SEC ,32,16,16,"2,389",74.7,"2,282",71.3,3.3,2023-2024
136,Virginia ,ACC ,32,16,16,"2,319",72.5,"2,212",69.1,3.3,2023-2024
138,Hawaii ,Big West ,31,20,11,"1,846",59.5,"1,746",56.3,3.2,2023-2024
139,Tennessee Tech ,OVC ,31,16,15,"2,168",69.9,"2,074",66.9,3,2023-2024
140,UIC ,MVC ,34,18,16,"2,352",69.2,"2,252",66.2,2.9,2023-2024
141,UNI ,MVC ,32,16,16,"2,349",73.4,"2,255",70.5,2.9,2023-2024
142,UMES ,MEAC ,30,15,15,"1,867",62.2,"1,780",59.3,2.9,2023-2024
143,East Carolina ,AAC ,33,19,14,"2,166",65.6,"2,073",62.8,2.8,2023-2024
144,Georgetown ,Big East ,35,23,12,"2,025",57.9,"1,929",55.1,2.7,2023-2024
145,Northern Colo. ,Big Sky ,31,15,16,"2,017",65.1,"1,936",62.5,2.6,2023-2024
146,Idaho ,Big Sky ,31,15,16,"1,853",59.8,"1,773",57.2,2.6,2023-2024
147,Oklahoma St. ,Big 12 ,30,14,16,"2,069",69,"1,993",66.4,2.5,2023-2024
148,Arkansas St. ,Sun Belt ,30,13,17,"1,990",66.3,"1,916",63.9,2.5,2023-2024
149,Buffalo ,MAC ,33,19,14,"2,175",65.9,"2,098",63.6,2.3,2023-2024
150,UC Santa Barbara ,Big West ,31,16,15,"2,012",64.9,"1,943",62.7,2.2,2023-2024
151,St. John's NY,Big East ,33,18,15,"1,993",60.4,"1,920",58.2,2.2,2023-2024
152,Penn ,Ivy League ,28,15,13,"1,836",65.6,"1,776",63.4,2.1,2023-2024
153,UAB ,AAC ,32,18,14,"2,302",71.9,"2,234",69.8,2.1,2023-2024
154,Furman ,SoCon ,31,15,16,"2,051",66.2,"1,986",64.1,2.1,2023-2024
155,Saint Louis ,Atlantic 10 ,40,22,18,"2,883",72.1,"2,801",70,2.1,2023-2024
156,Austin Peay ,ASUN ,33,17,16,"2,053",62.3,"1,986",60.2,2,2023-2024
156,Texas Tech ,Big 12 ,33,17,16,"2,141",64.9,"2,074",62.8,2,2023-2024
158,Duquesne ,Atlantic 10 ,34,21,13,"2,346",69,"2,277",67,2,2023-2024
159,San Diego St. ,Mountain West ,35,22,13,"2,321",66.3,"2,252",64.3,2,2023-2024
160,UC Davis ,Big West ,34,20,14,"2,106",61.9,"2,039",60,2,2023-2024
161,Ga. Southern ,Sun Belt ,33,15,18,"2,385",72.3,"2,323",70.4,1.9,2023-2024
162,Lipscomb ,ASUN ,30,17,13,"2,037",67.9,"1,983",66.1,1.8,2023-2024
163,Binghamton ,America East ,31,14,17,"1,920",61.9,"1,869",60.3,1.6,2023-2024
164,Charlotte ,AAC ,31,16,15,"2,000",64.5,"1,953",63,1.5,2023-2024
165,SMU ,AAC ,30,14,16,"2,095",69.8,"2,050",68.3,1.5,2023-2024
166,Pacific ,WCC ,34,19,15,"2,424",71.3,"2,375",69.9,1.4,2023-2024
167,Towson ,CAA ,31,20,11,"2,072",66.8,"2,028",65.4,1.4,2023-2024
168,Texas St. ,Sun Belt ,32,14,18,"2,076",64.9,"2,031",63.5,1.4,2023-2024
169,Brown ,Ivy League ,27,16,11,"1,704",63.1,"1,668",61.8,1.3,2023-2024
170,Drexel ,CAA ,34,19,15,"1,945",57.2,"1,900",55.9,1.3,2023-2024
171,Boston College ,ACC ,33,14,19,"2,342",71,"2,299",69.7,1.3,2023-2024
172,Fresno St. ,Mountain West ,33,15,18,"2,121",64.3,"2,079",63,1.3,2023-2024
173,Georgia St. ,Sun Belt ,30,15,15,"2,094",69.8,"2,056",68.5,1.3,2023-2024
174,Howard ,MEAC ,31,15,16,"1,827",58.9,"1,788",57.7,1.3,2023-2024
175,UTSA ,AAC ,33,18,15,"2,132",64.6,"2,094",63.5,1.2,2023-2024
