Rank TOFrcPG,Team,Conference,Games,Wins,Losses,Opponents Turnovers,Average,Season
1,Niagara ,MAAC ,35,21,14,961,27.46,2023-2024
2,Marshall ,Sun Belt ,33,26,7,799,24.21,2023-2024
3,West Virginia ,Big 12 ,33,25,8,779,23.61,2023-2024
4,Grambling ,SWAC ,33,23,10,731,22.15,2023-2024
5,Tennessee St. ,OVC ,30,11,19,652,21.73,2023-2024
6,Ohio ,MAC ,30,11,19,639,21.3,2023-2024
7,Houston ,Big 12 ,30,14,16,634,21.13,2023-2024
8,East Carolina ,AAC ,33,19,14,697,21.12,2023-2024
8,Norfolk St. ,MEAC ,33,27,6,697,21.12,2023-2024
10,Ohio St. ,Big Ten ,32,26,6,674,21.06,2023-2024
11,N.C. Central ,MEAC ,31,16,15,647,20.87,2023-2024
12,Old Dominion ,Sun Belt ,32,22,10,666,20.81,2023-2024
13,Boston College ,ACC ,33,14,19,683,20.7,2023-2024
14,Siena ,MAAC ,30,18,12,618,20.6,2023-2024
15,Bethune-Cookman ,SWAC ,31,15,16,637,20.55,2023-2024
16,Auburn ,SEC ,32,20,12,656,20.5,2023-2024
17,Southern U. ,SWAC ,30,15,15,614,20.47,2023-2024
18,Col. of Charleston ,CAA ,32,22,10,648,20.25,2023-2024
19,Oral Roberts ,Summit League ,32,21,11,645,20.16,2023-2024
20,Memphis ,AAC ,30,13,17,604,20.13,2023-2024
21,Oakland ,Horizon ,29,12,17,582,20.07,2023-2024
22,UC Riverside ,Big West ,32,18,14,641,20.03,2023-2024
23,Utah Valley ,WAC ,29,10,19,576,19.86,2023-2024
24,Ga. Southern ,Sun Belt ,33,15,18,655,19.85,2023-2024
25,Prairie View ,SWAC ,29,11,18,575,19.83,2023-2024
26,Southern Ill. ,MVC ,31,11,20,613,19.77,2023-2024
27,Western Ky. ,CUSA ,32,15,17,631,19.72,2023-2024
28,Arizona ,Pac-12 ,34,18,16,669,19.68,2023-2024
28,Portland ,WCC ,34,21,13,669,19.68,2023-2024
30,LSU ,SEC ,37,31,6,725,19.59,2023-2024
31,Sam Houston ,CUSA ,29,7,22,568,19.59,2023-2024
32,Texas ,Big 12 ,38,33,5,743,19.55,2023-2024
33,Morgan St. ,MEAC ,30,8,22,583,19.43,2023-2024
34,Ball St. ,MAC ,34,28,6,657,19.32,2023-2024
35,Notre Dame ,ACC ,35,28,7,672,19.2,2023-2024
36,Air Force ,Mountain West ,32,15,17,614,19.19,2023-2024
37,Hampton ,CAA ,29,3,26,556,19.17,2023-2024
38,Wagner ,NEC ,28,7,21,536,19.14,2023-2024
39,Fairfield ,MAAC ,33,31,2,629,19.06,2023-2024
40,Long Beach St. ,Big West ,33,15,18,627,19,2023-2024
40,Temple ,AAC ,32,20,12,608,19,2023-2024
42,UC Irvine ,Big West ,32,23,9,604,18.88,2023-2024
43,George Mason ,Atlantic 10 ,31,23,8,582,18.77,2023-2024
44,Texas St. ,Sun Belt ,32,14,18,598,18.69,2023-2024
45,Winthrop ,Big South ,30,14,16,560,18.67,2023-2024
46,Ark.-Pine Bluff ,SWAC ,33,17,16,614,18.61,2023-2024
47,Howard ,MEAC ,31,15,16,576,18.58,2023-2024
47,Jacksonville ,ASUN ,31,11,20,576,18.58,2023-2024
49,Longwood ,Big South ,30,9,21,556,18.53,2023-2024
50,FGCU ,ASUN ,34,29,5,630,18.53,2023-2024
51,Florida A&M ,SWAC ,30,9,21,555,18.5,2023-2024
51,UMES ,MEAC ,30,15,15,555,18.5,2023-2024
53,FIU ,CUSA ,33,21,12,610,18.48,2023-2024
54,New Orleans ,Southland ,30,11,19,554,18.47,2023-2024
55,Sacred Heart ,NEC ,34,24,10,627,18.44,2023-2024
56,Grand Canyon ,WAC ,32,24,8,590,18.44,2023-2024
57,Tennessee Tech ,OVC ,31,16,15,571,18.42,2023-2024
58,Southeast Mo. St. ,OVC ,29,9,20,534,18.41,2023-2024
58,William & Mary ,CAA ,29,15,14,534,18.41,2023-2024
60,Eastern Ky. ,ASUN ,34,22,12,626,18.41,2023-2024
61,Mississippi Val. ,SWAC ,31,4,27,570,18.39,2023-2024
62,Baylor ,Big 12 ,34,26,8,624,18.35,2023-2024
63,Nevada ,Mountain West ,32,16,16,587,18.34,2023-2024
64,A&M-Corpus Christi ,Southland ,32,23,9,586,18.31,2023-2024
65,New Hampshire ,America East ,29,9,20,531,18.31,2023-2024
66,Michigan St. ,Big Ten ,31,22,9,563,18.16,2023-2024
67,Texas Tech ,Big 12 ,33,17,16,599,18.15,2023-2024
68,Louisville ,ACC ,34,24,10,617,18.15,2023-2024
69,Charlotte ,AAC ,31,16,15,561,18.1,2023-2024
70,Penn St. ,Big Ten ,35,22,13,630,18,2023-2024
70,Western Mich. ,MAC ,30,12,18,540,18,2023-2024
72,Saint Louis ,Atlantic 10 ,40,22,18,718,17.95,2023-2024
73,App State ,Sun Belt ,32,17,15,573,17.91,2023-2024
74,Montana St. ,Big Sky ,33,17,16,588,17.82,2023-2024
75,Florida ,SEC ,32,16,16,570,17.81,2023-2024
76,Fordham ,Atlantic 10 ,29,12,17,516,17.79,2023-2024
77,Missouri St. ,MVC ,33,23,10,586,17.76,2023-2024
78,Nicholls ,Southland ,32,14,18,568,17.75,2023-2024
79,Vanderbilt ,SEC ,33,23,10,585,17.73,2023-2024
80,UIC ,MVC ,34,18,16,602,17.71,2023-2024
81,Cal Poly ,Big West ,31,17,14,548,17.68,2023-2024
82,Loyola Chicago ,Atlantic 10 ,31,15,16,546,17.61,2023-2024
83,N.C. A&T ,CAA ,34,22,12,598,17.59,2023-2024
84,Georgia St. ,Sun Belt ,30,15,15,527,17.57,2023-2024
84,Princeton ,Ivy League ,30,25,5,527,17.57,2023-2024
86,Purdue Fort Wayne ,Horizon ,36,23,13,632,17.56,2023-2024
87,Louisiana ,Sun Belt ,31,17,14,543,17.52,2023-2024
88,SFA ,WAC ,34,22,12,593,17.44,2023-2024
89,DePaul ,Big East ,32,12,20,558,17.44,2023-2024
90,Alabama A&M ,SWAC ,31,15,16,538,17.35,2023-2024
91,Lamar University ,Southland ,31,24,7,536,17.29,2023-2024
92,Delaware St. ,MEAC ,28,8,20,484,17.29,2023-2024
93,Saint Peter's ,MAAC ,30,7,23,518,17.27,2023-2024
94,New Mexico St. ,CUSA ,31,13,18,535,17.26,2023-2024
95,Massachusetts ,Atlantic 10 ,32,5,27,552,17.25,2023-2024
95,USC Upstate ,Big South ,32,16,16,552,17.25,2023-2024
97,Little Rock ,OVC ,30,12,18,515,17.17,2023-2024
98,Navy ,Patriot ,31,14,17,532,17.16,2023-2024
99,North Texas ,AAC ,32,23,9,547,17.09,2023-2024
100,Morehead St. ,OVC ,30,15,15,512,17.07,2023-2024
101,Seton Hall ,Big East ,32,17,15,546,17.06,2023-2024
102,Alabama ,SEC ,34,24,10,580,17.06,2023-2024
103,Eastern Wash. ,Big Sky ,35,29,6,597,17.06,2023-2024
104,Valparaiso ,MVC ,30,5,25,511,17.03,2023-2024
105,UConn ,Big East ,39,33,6,664,17.03,2023-2024
106,Cleveland St. ,Horizon ,35,29,6,595,17,2023-2024
107,Colorado ,Pac-12 ,34,24,10,576,16.94,2023-2024
107,Duke ,ACC ,34,22,12,576,16.94,2023-2024
109,Rice ,AAC ,34,19,15,575,16.91,2023-2024
110,Ole Miss ,SEC ,33,24,9,558,16.91,2023-2024
111,Radford ,Big South ,33,15,18,557,16.88,2023-2024
112,Miami FL,ACC ,31,19,12,523,16.87,2023-2024
113,Delaware ,CAA ,31,11,20,522,16.84,2023-2024
114,Stony Brook ,CAA ,33,28,5,555,16.82,2023-2024
115,Kennesaw St. ,ASUN ,30,11,19,504,16.8,2023-2024
116,Hofstra ,CAA ,32,11,21,536,16.75,2023-2024
117,Fresno St. ,Mountain West ,33,15,18,552,16.73,2023-2024
118,California Baptist ,WAC ,32,28,4,535,16.72,2023-2024
118,Murray St. ,MVC ,32,20,12,535,16.72,2023-2024
118,Stetson ,ASUN ,32,17,15,535,16.72,2023-2024
121,Omaha ,Summit League ,31,8,23,518,16.71,2023-2024
122,Elon ,CAA ,32,11,21,534,16.69,2023-2024
123,Jackson St. ,SWAC ,33,26,7,550,16.67,2023-2024
124,Pacific ,WCC ,34,19,15,566,16.65,2023-2024
125,Maryland ,Big Ten ,33,19,14,549,16.64,2023-2024
126,ULM ,Sun Belt ,35,21,14,582,16.63,2023-2024
127,Miami OH,MAC ,29,9,20,482,16.62,2023-2024
128,American ,Patriot ,30,10,20,498,16.6,2023-2024
129,Mount St. Mary's ,MAAC ,31,14,17,514,16.58,2023-2024
129,Southeastern La. ,Southland ,31,19,12,514,16.58,2023-2024
131,Syracuse ,ACC ,32,24,8,530,16.56,2023-2024
132,Michigan ,Big Ten ,34,20,14,563,16.56,2023-2024
133,Brown ,Ivy League ,27,16,11,447,16.56,2023-2024
134,Coppin St. ,MEAC ,30,12,18,496,16.53,2023-2024
135,Coastal Carolina ,Sun Belt ,33,12,21,543,16.45,2023-2024
136,Kansas City ,Summit League ,32,12,20,526,16.44,2023-2024
137,CSUN ,Big West ,30,3,27,493,16.43,2023-2024
138,Merrimack ,NEC ,31,12,19,509,16.42,2023-2024
139,UNCW ,CAA ,30,5,25,492,16.4,2023-2024
140,Southern Miss. ,Sun Belt ,34,20,14,557,16.38,2023-2024
141,Wichita St. ,AAC ,32,10,22,524,16.38,2023-2024
142,Rhode Island ,Atlantic 10 ,35,21,14,571,16.31,2023-2024
143,Troy ,Sun Belt ,34,22,12,554,16.29,2023-2024
144,Robert Morris ,Horizon ,30,6,24,488,16.27,2023-2024
145,Kansas St. ,Big 12 ,34,26,8,553,16.26,2023-2024
146,Toledo ,MAC ,34,28,6,551,16.21,2023-2024
147,Drexel ,CAA ,34,19,15,550,16.18,2023-2024
148,Cal St. Fullerton ,Big West ,31,10,21,501,16.16,2023-2024
149,UNC Asheville ,Big South ,31,11,20,499,16.1,2023-2024
150,Marquette ,Big East ,32,23,9,515,16.09,2023-2024
151,Oklahoma ,Big 12 ,33,23,10,531,16.09,2023-2024
152,Army West Point ,Patriot ,29,12,17,466,16.07,2023-2024
153,Indiana St. ,MVC ,32,11,21,514,16.06,2023-2024
154,UMBC ,America East ,29,10,19,465,16.03,2023-2024
155,San Jose St. ,Mountain West ,31,7,24,497,16.03,2023-2024
156,High Point ,Big South ,32,20,12,513,16.03,2023-2024
157,McNeese ,Southland ,31,6,25,496,16,2023-2024
157,UCF ,Big 12 ,29,12,17,464,16,2023-2024
159,Abilene Christian ,WAC ,30,14,16,479,15.97,2023-2024
159,SMU ,AAC ,30,14,16,479,15.97,2023-2024
161,Kentucky ,SEC ,32,12,20,510,15.94,2023-2024
161,Texas A&M ,SEC ,32,19,13,510,15.94,2023-2024
163,Charleston So. ,Big South ,30,11,19,478,15.93,2023-2024
164,Texas Southern ,SWAC ,29,7,22,461,15.9,2023-2024
165,Central Conn. St. ,NEC ,30,9,21,476,15.87,2023-2024
166,North Carolina ,ACC ,33,20,13,523,15.85,2023-2024
167,North Ala. ,ASUN ,30,12,18,475,15.83,2023-2024
168,CSU Bakersfield ,Big West ,29,8,21,459,15.83,2023-2024
169,San Diego St. ,Mountain West ,35,22,13,553,15.8,2023-2024
170,Jacksonville St. ,CUSA ,29,12,17,458,15.79,2023-2024
171,Minnesota ,Big Ten ,36,20,16,568,15.78,2023-2024
172,Eastern Mich. ,MAC ,29,7,22,457,15.76,2023-2024
173,Saint Mary's CA,WCC ,31,13,18,488,15.74,2023-2024
174,La Salle ,Atlantic 10 ,30,8,22,470,15.67,2023-2024
175,North Dakota St. ,Summit League ,34,22,12,532,15.65,2023-2024
176,Western Ill. ,OVC ,30,18,12,469,15.63,2023-2024
177,South Carolina ,SEC ,38,38,0,594,15.63,2023-2024
178,Southern California ,Pac-12 ,35,29,6,546,15.6,2023-2024
179,Towson ,CAA ,31,20,11,483,15.58,2023-2024
180,Davidson ,Atlantic 10 ,26,18,8,405,15.58,2023-2024
181,UT Arlington ,WAC ,33,17,16,514,15.58,2023-2024
182,Virginia ,ACC ,32,16,16,497,15.53,2023-2024
183,UIW ,Southland ,30,19,11,465,15.5,2023-2024
184,George Washington ,Atlantic 10 ,31,13,18,480,15.48,2023-2024
185,Utah ,Pac-12 ,34,23,11,526,15.47,2023-2024
186,North Dakota ,Summit League ,30,9,21,464,15.47,2023-2024
187,Gonzaga ,WCC ,36,32,4,556,15.44,2023-2024
188,Mercer ,SoCon ,32,15,17,494,15.44,2023-2024
189,St. Bonaventure ,Atlantic 10 ,30,4,26,463,15.43,2023-2024
190,Chicago St. ,DI Independent ,27,1,26,416,15.41,2023-2024
191,Louisiana Tech ,CUSA ,33,14,19,508,15.39,2023-2024
191,St. John's NY,Big East ,33,18,15,508,15.39,2023-2024
193,UTEP ,CUSA ,31,12,19,477,15.39,2023-2024
194,San Diego ,WCC ,31,9,22,475,15.32,2023-2024
195,Purdue ,Big Ten ,34,15,19,520,15.29,2023-2024
196,Seattle U ,WAC ,29,6,23,443,15.28,2023-2024
197,Cornell ,Ivy League ,26,7,19,397,15.27,2023-2024
198,Drake ,MVC ,35,29,6,534,15.26,2023-2024
199,Idaho St. ,Big Sky ,30,11,19,457,15.23,2023-2024
200,Kent St. ,MAC ,32,21,11,487,15.22,2023-2024
200,UAlbany ,America East ,32,25,7,487,15.22,2023-2024
200,Wake Forest ,ACC ,32,7,25,487,15.22,2023-2024
203,Harvard ,Ivy League ,28,16,12,426,15.21,2023-2024
204,Austin Peay ,ASUN ,33,17,16,502,15.21,2023-2024
205,Manhattan ,MAAC ,30,18,12,455,15.17,2023-2024
206,Northern Ariz. ,Big Sky ,35,25,10,530,15.14,2023-2024
207,LIU ,NEC ,30,8,22,454,15.13,2023-2024
208,Xavier ,Big East ,28,1,27,423,15.11,2023-2024
209,Alabama St. ,SWAC ,29,3,26,437,15.07,2023-2024
210,Arkansas St. ,Sun Belt ,30,13,17,451,15.03,2023-2024
211,Wright St. ,Horizon ,33,18,15,496,15.03,2023-2024
212,Green Bay ,Horizon ,34,27,7,511,15.03,2023-2024
213,Villanova ,Big East ,35,22,13,524,14.97,2023-2024
214,Santa Clara ,WCC ,34,25,9,509,14.97,2023-2024
215,Arizona St. ,Pac-12 ,31,11,20,464,14.97,2023-2024
215,Clemson ,ACC ,31,12,19,464,14.97,2023-2024
217,LMU CA,WCC ,30,11,19,449,14.97,2023-2024
218,Akron ,MAC ,29,11,18,434,14.97,2023-2024
219,Sacramento St. ,Big Sky ,31,6,25,463,14.94,2023-2024
220,Columbia ,Ivy League ,30,23,7,448,14.93,2023-2024
221,Buffalo ,MAC ,33,19,14,492,14.91,2023-2024
222,Wofford ,SoCon ,30,17,13,447,14.9,2023-2024
223,Binghamton ,America East ,31,14,17,461,14.87,2023-2024
224,Georgia ,SEC ,30,12,18,446,14.87,2023-2024
225,Central Ark. ,ASUN ,33,21,12,490,14.85,2023-2024
226,UCLA ,Pac-12 ,34,27,7,504,14.82,2023-2024
227,Evansville ,MVC ,32,4,28,473,14.78,2023-2024
228,ETSU ,SoCon ,30,18,12,443,14.77,2023-2024
228,South Carolina St. ,MEAC ,30,2,28,443,14.77,2023-2024
230,Florida St. ,ACC ,34,23,11,501,14.74,2023-2024
231,San Francisco ,WCC ,30,14,16,442,14.73,2023-2024
232,South Alabama ,Sun Belt ,32,9,23,471,14.72,2023-2024
232,Youngstown St. ,Horizon ,32,14,18,471,14.72,2023-2024
234,IU Indy ,Horizon ,30,7,23,441,14.7,2023-2024
235,Arkansas ,SEC ,33,18,15,485,14.7,2023-2024
236,Cincinnati ,Big 12 ,32,14,18,470,14.69,2023-2024
236,Wisconsin ,Big Ten ,32,15,17,470,14.69,2023-2024
238,Georgetown ,Big East ,35,23,12,513,14.66,2023-2024
239,UC Davis ,Big West ,34,20,14,498,14.65,2023-2024
240,UT Martin ,OVC ,33,16,17,483,14.64,2023-2024
241,Presbyterian ,Big South ,36,21,15,526,14.61,2023-2024
242,North Florida ,ASUN ,30,9,21,438,14.6,2023-2024
243,Milwaukee ,Horizon ,32,16,16,467,14.59,2023-2024
244,UTRGV ,WAC ,29,6,23,422,14.55,2023-2024
245,Furman ,SoCon ,31,15,16,451,14.55,2023-2024
246,Eastern Ill. ,OVC ,33,15,18,480,14.55,2023-2024
246,Kansas ,Big 12 ,33,20,13,480,14.55,2023-2024
248,Oklahoma St. ,Big 12 ,30,14,16,436,14.53,2023-2024
249,Alcorn ,SWAC ,32,12,20,465,14.53,2023-2024
249,VCU ,Atlantic 10 ,32,26,6,465,14.53,2023-2024
251,UMass Lowell ,America East ,29,4,25,421,14.52,2023-2024
252,Gardner-Webb ,Big South ,30,6,24,434,14.47,2023-2024
252,Lipscomb ,ASUN ,30,17,13,434,14.47,2023-2024
252,NJIT ,America East ,30,12,18,434,14.47,2023-2024
255,Northwestern St. ,Southland ,30,11,19,433,14.43,2023-2024
256,Northeastern ,CAA ,27,10,17,389,14.41,2023-2024
257,UNC Greensboro ,SoCon ,33,21,12,475,14.39,2023-2024
258,Penn ,Ivy League ,28,15,13,403,14.39,2023-2024
259,Iowa ,Big Ten ,39,34,5,561,14.38,2023-2024
260,Belmont ,MVC ,35,26,9,503,14.37,2023-2024
261,Mississippi St. ,SEC ,35,23,12,501,14.31,2023-2024
261,Nebraska ,Big Ten ,35,23,12,501,14.31,2023-2024
261,Richmond ,Atlantic 10 ,35,29,6,501,14.31,2023-2024
264,UNI ,MVC ,32,16,16,457,14.28,2023-2024
265,Illinois ,Big Ten ,34,19,15,485,14.26,2023-2024
266,Yale ,Ivy League ,27,8,19,385,14.26,2023-2024
267,Northern Colo. ,Big Sky ,31,15,16,442,14.26,2023-2024
268,Maine ,America East ,34,24,10,484,14.24,2023-2024
269,Tulsa ,AAC ,35,25,10,498,14.23,2023-2024
270,Dayton ,Atlantic 10 ,31,12,19,441,14.23,2023-2024
270,Washington ,Pac-12 ,31,16,15,441,14.23,2023-2024
272,Middle Tenn. ,CUSA ,35,30,5,497,14.2,2023-2024
273,Loyola Maryland ,Patriot ,31,16,15,440,14.19,2023-2024
274,Pittsburgh ,ACC ,32,8,24,452,14.13,2023-2024
275,New Mexico ,Mountain West ,32,21,11,451,14.09,2023-2024
276,Houston Christian ,Southland ,29,6,23,408,14.07,2023-2024
277,Bryant ,America East ,30,15,15,422,14.07,2023-2024
278,Quinnipiac ,MAAC ,31,13,18,436,14.06,2023-2024
279,Saint Joseph's ,Atlantic 10 ,34,28,6,478,14.06,2023-2024
280,Samford ,SoCon ,30,14,16,421,14.03,2023-2024
281,Rutgers ,Big Ten ,32,8,24,449,14.03,2023-2024
282,Colgate ,Patriot ,34,20,14,476,14,2023-2024
282,Georgia Tech ,ACC ,33,17,16,462,14,2023-2024
282,SIUE ,OVC ,31,5,26,434,14,2023-2024
285,UAB ,AAC ,32,18,14,446,13.94,2023-2024
286,Boise St. ,Mountain West ,35,21,14,487,13.91,2023-2024
287,Tulane ,AAC ,32,12,20,442,13.81,2023-2024
288,Lehigh ,Patriot ,30,17,13,414,13.8,2023-2024
289,Indiana ,Big Ten ,32,26,6,441,13.78,2023-2024
290,Idaho ,Big Sky ,31,15,16,427,13.77,2023-2024
291,Fla. Atlantic ,AAC ,30,11,19,413,13.77,2023-2024
292,Iona ,MAAC ,30,11,19,411,13.7,2023-2024
293,UTSA ,AAC ,33,18,15,452,13.7,2023-2024
294,California ,Pac-12 ,34,19,15,465,13.68,2023-2024
295,Missouri ,SEC ,30,11,19,410,13.67,2023-2024
296,Pepperdine ,WCC ,30,5,25,409,13.63,2023-2024
297,Hawaii ,Big West ,31,20,11,421,13.58,2023-2024
297,Northern Ky. ,Horizon ,31,11,20,421,13.58,2023-2024
299,Rider ,MAAC ,31,10,21,420,13.55,2023-2024
300,Providence ,Big East ,34,13,21,460,13.53,2023-2024
301,Marist ,MAAC ,31,6,25,418,13.48,2023-2024
302,Duquesne ,Atlantic 10 ,34,21,13,458,13.47,2023-2024
303,Boston U. ,Patriot ,32,20,12,431,13.47,2023-2024
304,Detroit Mercy ,Horizon ,33,17,16,444,13.45,2023-2024
304,UNLV ,Mountain West ,33,30,3,444,13.45,2023-2024
306,Weber St. ,Big Sky ,33,8,25,443,13.42,2023-2024
307,Canisius ,MAAC ,31,17,14,416,13.42,2023-2024
308,Western Caro. ,SoCon ,30,6,24,402,13.4,2023-2024
309,South Fla. ,AAC ,33,19,14,442,13.39,2023-2024
310,Portland St. ,Big Sky ,31,8,23,415,13.39,2023-2024
311,FDU ,NEC ,31,14,17,413,13.32,2023-2024
312,Washington St. ,Pac-12 ,36,21,15,479,13.31,2023-2024
313,Colorado St. ,Mountain West ,31,20,11,410,13.23,2023-2024
314,South Dakota ,Summit League ,36,23,13,475,13.19,2023-2024
315,Campbell ,CAA ,31,17,14,409,13.19,2023-2024
316,NC State ,ACC ,38,31,7,501,13.18,2023-2024
317,Central Mich. ,MAC ,28,6,22,368,13.14,2023-2024
318,Bowling Green ,MAC ,31,16,15,407,13.13,2023-2024
319,Lafayette ,Patriot ,30,10,20,393,13.1,2023-2024
320,Chattanooga ,SoCon ,33,28,5,432,13.09,2023-2024
321,Denver ,Summit League ,30,8,22,392,13.07,2023-2024
322,Utah St. ,Mountain West ,30,5,25,391,13.03,2023-2024
323,Bucknell ,Patriot ,31,13,18,402,12.97,2023-2024
324,Illinois St. ,MVC ,34,22,12,440,12.94,2023-2024
325,South Dakota St. ,Summit League ,33,27,6,427,12.94,2023-2024
326,Butler ,Big East ,32,15,17,414,12.94,2023-2024
327,UC Santa Barbara ,Big West ,31,16,15,401,12.94,2023-2024
328,Vermont ,America East ,37,25,12,473,12.78,2023-2024
329,Saint Francis PA,NEC ,30,5,25,383,12.77,2023-2024
330,Monmouth ,CAA ,32,22,10,406,12.69,2023-2024
331,Northwestern ,Big Ten ,30,9,21,377,12.57,2023-2024
332,NIU ,MAC ,31,15,16,389,12.55,2023-2024
333,Bradley ,MVC ,32,6,26,400,12.5,2023-2024
333,Creighton ,Big East ,32,26,6,400,12.5,2023-2024
333,Dartmouth ,Ivy League ,26,7,19,325,12.5,2023-2024
336,BYU ,Big 12 ,33,16,17,404,12.24,2023-2024
337,James Madison ,Sun Belt ,35,23,12,428,12.23,2023-2024
338,Holy Cross ,Patriot ,34,21,13,415,12.21,2023-2024
339,TCU ,Big 12 ,33,21,12,397,12.03,2023-2024
340,Montana ,Big Sky ,33,23,10,395,11.97,2023-2024
341,Tennessee ,SEC ,33,20,13,385,11.67,2023-2024
342,Virginia Tech ,ACC ,33,25,8,384,11.64,2023-2024
343,Wyoming ,Mountain West ,33,18,15,378,11.45,2023-2024
344,Southern Utah ,WAC ,30,8,22,342,11.4,2023-2024
345,Stanford ,Pac-12 ,36,30,6,409,11.36,2023-2024
346,Liberty ,CUSA ,34,18,16,383,11.26,2023-2024
347,Iowa St. ,Big 12 ,33,21,12,354,10.73,2023-2024
348,Oregon ,Pac-12 ,32,11,21,330,10.31,2023-2024
349,Oregon St. ,Pac-12 ,35,27,8,315,9,2023-2024
